"Year","Month","Day","Hour","Minute","DNI"
2000,2,9,2,30,0
2000,2,9,3,30,0
2000,2,9,4,30,0
2000,2,9,5,30,0
2000,2,9,6,30,0
2000,2,9,7,30,308
2000,2,9,8,30,631
2000,2,9,9,30,766
2000,2,9,10,30,793
2000,2,9,11,30,735
2000,2,9,12,30,465
2000,2,9,13,30,753
2000,2,9,14,30,771
2000,2,9,15,30,707
2000,2,9,16,30,469
2000,2,9,17,30,0
2000,2,9,18,30,0
2000,2,9,19,30,0
2000,2,9,20,30,0
2000,2,9,21,30,0
2000,2,9,22,30,0
2000,2,9,23,30,0
2000,2,10,0,30,0
2000,2,10,1,30,0
2000,2,10,2,30,0
2000,2,10,3,30,0
2000,2,10,4,30,0
2000,2,10,5,30,0
2000,2,10,6,30,0
2000,2,10,7,30,267
2000,2,10,8,30,580
2000,2,10,9,30,721
2000,2,10,10,30,860
2000,2,10,11,30,810
2000,2,10,12,30,802
2000,2,10,13,30,726
2000,2,10,14,30,760
2000,2,10,15,30,275
2000,2,10,16,30,286
2000,2,10,17,30,0
2000,2,10,18,30,0
2000,2,10,19,30,0
2000,2,10,20,30,0
2000,2,10,21,30,0
2000,2,10,22,30,0
2000,2,10,23,30,0
2000,2,11,0,30,0
2000,2,11,1,30,0
2000,2,11,2,30,0
2000,2,11,3,30,0
2000,2,11,4,30,0
2000,2,11,5,30,0
2000,2,11,6,30,0
2000,2,11,7,30,0
2000,2,11,8,30,58
2000,2,11,9,30,0
2000,2,11,10,30,0
2000,2,11,11,30,79
2000,2,11,12,30,415
2000,2,11,13,30,160
2000,2,11,14,30,468
2000,2,11,15,30,397
2000,2,11,16,30,221
2000,2,11,17,30,0
2000,2,11,18,30,0
2000,2,11,19,30,0
2000,2,11,20,30,0
2000,2,11,21,30,0
2000,2,11,22,30,0
2000,2,11,23,30,0
2000,2,12,0,30,0
2000,2,12,1,30,0
2000,2,12,2,30,0
2000,2,12,3,30,0
2000,2,12,4,30,0
2000,2,12,5,30,0
2000,2,12,6,30,0
2000,2,12,7,30,330
2000,2,12,8,30,546
2000,2,12,9,30,726
2000,2,12,10,30,869
2000,2,12,11,30,883
2000,2,12,12,30,801
2000,2,12,13,30,851
2000,2,12,14,30,873
2000,2,12,15,30,529
2000,2,12,16,30,241
2000,2,12,17,30,0
2000,2,12,18,30,0
2000,2,12,19,30,0
2000,2,12,20,30,0
2000,2,12,21,30,0
2000,2,12,22,30,0
2000,2,12,23,30,0
2000,2,13,0,30,0
2000,2,13,1,30,0
2000,2,13,2,30,0
2000,2,13,3,30,0
2000,2,13,4,30,0
2000,2,13,5,30,0
2000,2,13,6,30,0
2000,2,13,7,30,209
2000,2,13,8,30,559
2000,2,13,9,30,663
2000,2,13,10,30,797
2000,2,13,11,30,749
2000,2,13,12,30,696
2000,2,13,13,30,109
2000,2,13,14,30,280
2000,2,13,15,30,153
2000,2,13,16,30,0
2000,2,13,17,30,0
2000,2,13,18,30,0
2000,2,13,19,30,0
2000,2,13,20,30,0
2000,2,13,21,30,0
2000,2,13,22,30,0
2000,2,13,23,30,0
2000,2,14,0,30,0
2000,2,14,1,30,0
2000,2,14,2,30,0
2000,2,14,3,30,0
2000,2,14,4,30,0
2000,2,14,5,30,0
2000,2,14,6,30,0
2000,2,14,7,30,0
2000,2,14,8,30,0
2000,2,14,9,30,36
